recclass,year,id
L6,1969-01-01T00:00:00.000,10
L6,1970-01-01T00:00:00.000,20
L6,1974-01-01T00:00:00.000,12
L6,1975-01-01T00:00:00.000,10
L6,1976-01-01T00:00:00.000,30
L6,1977-01-01T00:00:00.000,12
L6,1978-01-01T00:00:00.000,10
L6,1979-01-01T00:00:00.000,10
L6,1980-01-01T00:00:00.000,10
L6,1981-01-01T00:00:00.000,22
L6,1983-01-01T00:00:00.000,12
L6,1984-01-01T00:00:00.000,42
L6,1985-01-01T00:00:00.000,10
L6,1986-01-01T00:00:00.000,30
L6,1989-01-01T00:00:00.000,20
L6,1991-01-01T00:00:00.000,10
L6,1992-01-01T00:00:00.000,10
L6,1993-01-01T00:00:00.000,20
L6,1994-01-01T00:00:00.000,22
L6,1995-01-01T00:00:00.000,10
L6,1998-01-01T00:00:00.000,20
L6,1999-01-01T00:00:00.000,30
L6,2001-01-01T00:00:00.000,10
L6,2002-01-01T00:00:00.000,20
L6,2003-01-01T00:00:00.000,10
L6,2008-01-01T00:00:00.000,20
L6,2009-01-01T00:00:00.000,22
L6,2010-01-01T00:00:00.000,12
